"","file","species","n_total","n_abs","n_pres","n_pres_fw","n_pres_tn","presence_share","fw_tn_ratio","w_abs","w_pres_fw","w_pres_tn","sum_w_total","sum_w_abs","sum_w_pres"
"1","GT_1000m.rds","Gentiana tergestina",315,179,136,93,43,0.5,2,0.879888268156425,1.37554585152838,0.687772925764192,315,157.5,157.5
"2","GT_100m.rds","Gentiana tergestina",660,418,242,183,59,0.5,2,0.789473684210526,1.55294117647059,0.776470588235294,660,330,330
"3","GT_200m.rds","Gentiana tergestina",591,357,234,176,58,0.5,2,0.827731092436975,1.44146341463415,0.720731707317073,591,295.5,295.5
"4","GT_20m.rds","Gentiana tergestina",736,491,245,186,59,0.5,2,0.74949083503055,1.707656612529,0.853828306264501,736,368,368
"5","GT_500m.rds","Gentiana tergestina",453,265,188,134,54,0.5,2,0.854716981132076,1.40683229813665,0.703416149068323,453,226.5,226.5
"6","PK_1000m.rds","Primula kitaibeliana",315,272,43,0,43,0.5,2,0.579044117647059,NA,3.66279069767442,315,157.5,157.5
"7","PK_100m.rds","Primula kitaibeliana",671,601,70,0,70,0.5,2,0.558236272878536,NA,4.79285714285714,671,335.5,335.5
"8","PK_200m.rds","Primula kitaibeliana",598,533,65,0,65,0.5,2,0.560975609756098,NA,4.6,598,299,299
"9","PK_20m.rds","Primula kitaibeliana",753,677,76,0,76,0.5,2,0.556129985228951,NA,4.95394736842105,753,376.5,376.5
"10","PK_500m.rds","Primula kitaibeliana",452,399,53,0,53,0.5,2,0.566416040100251,NA,4.26415094339623,452,226,226
"11","PO_1000m.rds","Phyteuma orbiculare",272,251,21,21,0,0.5,2,0.541832669322709,6.47619047619048,NA,272,136,136
"12","PO_100m.rds","Phyteuma orbiculare",601,570,31,31,0,0.5,2,0.52719298245614,9.69354838709677,NA,601,300.5,300.5
"13","PO_200m.rds","Phyteuma orbiculare",533,503,30,30,0,0.5,2,0.529821073558648,8.88333333333333,NA,533,266.5,266.5
"14","PO_20m.rds","Phyteuma orbiculare",677,646,31,31,0,0.5,2,0.523993808049536,10.9193548387097,NA,677,338.5,338.5
"15","PO_500m.rds","Phyteuma orbiculare",399,375,24,24,0,0.5,2,0.532,8.3125,NA,399,199.5,199.5
"16","PP_1000m.rds","Phyteuma pseudorbiculare",272,252,20,20,0,0.5,2,0.53968253968254,6.8,NA,272,136,136
"17","PP_100m.rds","Phyteuma pseudorbiculare",601,579,22,22,0,0.5,2,0.518998272884283,13.6590909090909,NA,601,300.5,300.5
"18","PP_200m.rds","Phyteuma pseudorbiculare",533,511,22,22,0,0.5,2,0.521526418786693,12.1136363636364,NA,533,266.5,266.5
"19","PP_20m.rds","Phyteuma pseudorbiculare",677,655,22,22,0,0.5,2,0.516793893129771,15.3863636363636,NA,677,338.5,338.5
"20","PP_500m.rds","Phyteuma pseudorbiculare",399,377,22,22,0,0.5,2,0.529177718832891,9.06818181818182,NA,399,199.5,199.5
"21","SB_1000m.rds","Saxifraga blavii",272,219,53,53,0,0.5,2,0.621004566210046,2.56603773584906,NA,272,136,136
"22","SB_100m.rds","Saxifraga blavii",601,513,88,88,0,0.5,2,0.585769980506823,3.41477272727273,NA,601,300.5,300.5
"23","SB_200m.rds","Saxifraga blavii",533,448,85,85,0,0.5,2,0.594866071428571,3.13529411764706,NA,533,266.5,266.5
"24","SB_20m.rds","Saxifraga blavii",677,589,88,88,0,0.5,2,0.574702886247878,3.84659090909091,NA,677,338.5,338.5
"25","SB_500m.rds","Saxifraga blavii",399,327,72,72,0,0.5,2,0.610091743119266,2.77083333333333,NA,399,199.5,199.5
