branch,species_code,species,grain,n_predictors,predictors,n_candidate_pairs,n_candidate_biv_models,n_kept_biv_models,n_contributing_biv_models,oof_somers_d,model_file
recent_noextrapol_weights_common,GD,Gentiana dinarica,1000,10,"depth_to_bedrock, soil_water_cap, landcover, bedrock, HLI, northness, TWI, bio06, bio12, bio14",45,270,181,181,0.64,/home/zbub/diplomka/models/ESM/recent_noextrapol_weights_common/GD/1000/esm_fit_bivariate.rds
recent_noextrapol_weights_common,GD,Gentiana dinarica,500,10,"depth_to_bedrock, soil_water_cap, landcover, bedrock, HLI, northness, TWI, bio06, bio12, bio14",45,270,225,225,0.688,/home/zbub/diplomka/models/ESM/recent_noextrapol_weights_common/GD/500/esm_fit_bivariate.rds
recent_noextrapol_weights_common,GD,Gentiana dinarica,200,10,"depth_to_bedrock, soil_water_cap, landcover, bedrock, HLI, northness, TWI, bio06, bio12, bio14",45,270,215,215,0.59,/home/zbub/diplomka/models/ESM/recent_noextrapol_weights_common/GD/200/esm_fit_bivariate.rds
recent_noextrapol_weights_common,GD,Gentiana dinarica,100,10,"depth_to_bedrock, soil_water_cap, landcover, bedrock, HLI, northness, TWI, bio06, bio12, bio14",45,270,223,223,0.702,/home/zbub/diplomka/models/ESM/recent_noextrapol_weights_common/GD/100/esm_fit_bivariate.rds
recent_noextrapol_weights_common,GT,Gentiana tergestina,1000,11,"soil_water_cap, dem_range, eastness, landcover, bedrock, HLI, northness, TWI, bio06, bio12, bio14",55,330,254,254,0.358,/home/zbub/diplomka/models/ESM/recent_noextrapol_weights_common/GT/1000/esm_fit_bivariate.rds
recent_noextrapol_weights_common,GT,Gentiana tergestina,500,11,"soil_water_cap, dem_range, eastness, landcover, bedrock, HLI, northness, TWI, bio06, bio12, bio14",55,330,247,247,0.412,/home/zbub/diplomka/models/ESM/recent_noextrapol_weights_common/GT/500/esm_fit_bivariate.rds
recent_noextrapol_weights_common,GT,Gentiana tergestina,200,11,"soil_water_cap, dem_range, eastness, landcover, bedrock, HLI, northness, TWI, bio06, bio12, bio14",55,330,269,269,0.467,/home/zbub/diplomka/models/ESM/recent_noextrapol_weights_common/GT/200/esm_fit_bivariate.rds
recent_noextrapol_weights_common,GT,Gentiana tergestina,100,11,"soil_water_cap, dem_range, eastness, landcover, bedrock, HLI, northness, TWI, bio06, bio12, bio14",55,330,259,259,0.426,/home/zbub/diplomka/models/ESM/recent_noextrapol_weights_common/GT/100/esm_fit_bivariate.rds
recent_noextrapol_weights_common,PK,Primula kitaibeliana,1000,11,"depth_to_bedrock, soil_water_cap, dem_range, eastness, landcover, HLI, northness, TWI, bio06, bio12, bio14",55,330,262,262,0.514,/home/zbub/diplomka/models/ESM/recent_noextrapol_weights_common/PK/1000/esm_fit_bivariate.rds
recent_noextrapol_weights_common,PK,Primula kitaibeliana,500,11,"depth_to_bedrock, soil_water_cap, dem_range, eastness, landcover, HLI, northness, TWI, bio06, bio12, bio14",55,330,260,260,0.665,/home/zbub/diplomka/models/ESM/recent_noextrapol_weights_common/PK/500/esm_fit_bivariate.rds
