Druh,Rozlišení,N prediktorů,Prediktory,N kandidátních bivariátních modelů,N využitých biv modelů,Finální Somersovo D
Gentiana dinarica,1000,10,"dem_sd, eastness, bedrock, northness, slope, TPI, bio04, bio10, bio18, bio19",270,189,0.671
Gentiana dinarica,500,9,"dem_sd, eastness, bedrock, northness, TPI, bio04, bio10, bio18, bio19",216,173,0.721
Gentiana dinarica,200,9,"dem_sd, eastness, bedrock, northness, TPI, bio04, bio10, bio18, bio19",216,151,0.453
Gentiana dinarica,100,9,"dem_sd, eastness, bedrock, northness, TPI, bio04, bio10, bio18, bio19",216,173,0.616
Gentiana tergestina,1000,10,"dem_sd, eastness, bedrock, northness, slope, TPI, bio04, bio10, bio18, bio19",270,208,0.39
Gentiana tergestina,500,9,"dem_sd, eastness, bedrock, northness, TPI, bio04, bio10, bio18, bio19",216,160,0.437
Gentiana tergestina,200,9,"dem_sd, eastness, bedrock, northness, TPI, bio04, bio10, bio18, bio19",216,164,0.48
Gentiana tergestina,100,9,"dem_sd, eastness, bedrock, northness, TPI, bio04, bio10, bio18, bio19",216,163,0.404
Primula kitaibeliana,1000,11,"dem_sd, eastness, bedrock, northness, slope, TPI, TRI, bio04, bio10, bio18, bio19",330,250,-0.137
Primula kitaibeliana,500,10,"dem_sd, eastness, bedrock, northness, slope, TPI, bio04, bio10, bio18, bio19",270,212,0.697
Primula kitaibeliana,200,9,"dem_sd, eastness, bedrock, northness, TPI, bio04, bio10, bio18, bio19",216,172,0.839
Primula kitaibeliana,100,9,"dem_sd, eastness, bedrock, northness, TPI, bio04, bio10, bio18, bio19",216,174,0.787
Phyteuma orbiculare,1000,10,"dem_sd, eastness, bedrock, northness, slope, TPI, bio04, bio10, bio18, bio19",270,202,0.778
Phyteuma orbiculare,500,9,"dem_sd, eastness, bedrock, northness, TPI, bio04, bio10, bio18, bio19",216,168,0.702
Phyteuma orbiculare,200,9,"dem_sd, eastness, bedrock, northness, TPI, bio04, bio10, bio18, bio19",216,177,0.627
Phyteuma orbiculare,100,9,"dem_sd, eastness, bedrock, northness, TPI, bio04, bio10, bio18, bio19",216,175,0.691
Phyteuma pseudorbiculare,1000,10,"dem_sd, eastness, bedrock, northness, slope, TPI, bio04, bio10, bio18, bio19",270,196,0.694
Phyteuma pseudorbiculare,500,9,"dem_sd, eastness, bedrock, northness, TPI, bio04, bio10, bio18, bio19",216,135,0.565
Phyteuma pseudorbiculare,200,9,"dem_sd, eastness, bedrock, northness, TPI, bio04, bio10, bio18, bio19",216,149,0.706
Phyteuma pseudorbiculare,100,9,"dem_sd, eastness, bedrock, northness, TPI, bio04, bio10, bio18, bio19",216,155,0.616
Saxifraga blavii,1000,10,"dem_sd, eastness, bedrock, northness, slope, TPI, bio04, bio10, bio18, bio19",270,202,0.693
Saxifraga blavii,500,9,"dem_sd, eastness, bedrock, northness, TPI, bio04, bio10, bio18, bio19",216,164,0.564
Saxifraga blavii,200,9,"dem_sd, eastness, bedrock, northness, TPI, bio04, bio10, bio18, bio19",216,152,0.649
Saxifraga blavii,100,9,"dem_sd, eastness, bedrock, northness, TPI, bio04, bio10, bio18, bio19",216,166,0.462
