branch,species_code,species,grain,n_predictors,predictors,n_candidate_pairs,n_candidate_biv_models,n_kept_biv_models,n_contributing_biv_models,oof_somers_d,model_file
recent_noextrapol_weights_all_selected,GD,Gentiana dinarica,1000,14,"depth_to_bedrock, soil_water_cap, eastness, landcover, bedrock, HLI, northness, TPI, TRI, TWI, bio04, bio06, bio12, bio14",91,546,375,375,0.733,/home/zbub/diplomka/models/ESM/recent_noextrapol_weights_all_selected/GD/1000/esm_fit_bivariate.rds
recent_noextrapol_weights_all_selected,GD,Gentiana dinarica,500,13,"depth_to_bedrock, soil_water_cap, dem_range, eastness, landcover, bedrock, HLI, northness, TWI, bio06, bio07, bio12, bio14",78,468,382,382,0.722,/home/zbub/diplomka/models/ESM/recent_noextrapol_weights_all_selected/GD/500/esm_fit_bivariate.rds
recent_noextrapol_weights_all_selected,GD,Gentiana dinarica,200,14,"depth_to_bedrock, soil_water_cap, dem_range, eastness, landcover, bedrock, HLI, northness, TPI, TWI, bio06, bio07, bio12, bio14",91,546,406,406,0.597,/home/zbub/diplomka/models/ESM/recent_noextrapol_weights_all_selected/GD/200/esm_fit_bivariate.rds
recent_noextrapol_weights_all_selected,GD,Gentiana dinarica,100,13,"depth_to_bedrock, aspect, soil_water_cap, dem_range, landcover, bedrock, HLI, northness, TPI, TWI, bio06, bio12, bio14",78,468,373,373,0.702,/home/zbub/diplomka/models/ESM/recent_noextrapol_weights_all_selected/GD/100/esm_fit_bivariate.rds
recent_noextrapol_weights_all_selected,GT,Gentiana tergestina,1000,14,"depth_to_bedrock, soil_water_cap, dem_range, eastness, landcover, bedrock, HLI, northness, TPI, TWI, bio04, bio06, bio12, bio14",91,546,394,394,0.356,/home/zbub/diplomka/models/ESM/recent_noextrapol_weights_all_selected/GT/1000/esm_fit_bivariate.rds
recent_noextrapol_weights_all_selected,GT,Gentiana tergestina,500,12,"depth_to_bedrock, soil_water_cap, dem_range, eastness, landcover, bedrock, HLI, northness, TWI, bio06, bio12, bio14",66,396,274,274,0.412,/home/zbub/diplomka/models/ESM/recent_noextrapol_weights_all_selected/GT/500/esm_fit_bivariate.rds
recent_noextrapol_weights_all_selected,GT,Gentiana tergestina,200,13,"depth_to_bedrock, soil_water_cap, dem_range, eastness, landcover, bedrock, HLI, northness, TWI, bio04, bio06, bio12, bio14",78,468,368,368,0.519,/home/zbub/diplomka/models/ESM/recent_noextrapol_weights_all_selected/GT/200/esm_fit_bivariate.rds
recent_noextrapol_weights_all_selected,GT,Gentiana tergestina,100,11,"soil_water_cap, dem_range, eastness, landcover, bedrock, HLI, northness, TWI, bio06, bio12, bio14",55,330,259,259,0.426,/home/zbub/diplomka/models/ESM/recent_noextrapol_weights_all_selected/GT/100/esm_fit_bivariate.rds
recent_noextrapol_weights_all_selected,PK,Primula kitaibeliana,1000,14,"depth_to_bedrock, soil_water_cap, dem_range, eastness, landcover, bedrock, HLI, northness, TPI, TWI, bio04, bio06, bio12, bio14",91,546,440,440,0.433,/home/zbub/diplomka/models/ESM/recent_noextrapol_weights_all_selected/PK/1000/esm_fit_bivariate.rds
recent_noextrapol_weights_all_selected,PK,Primula kitaibeliana,500,12,"depth_to_bedrock, soil_water_cap, dem_range, eastness, landcover, bedrock, HLI, northness, TWI, bio06, bio12, bio14",66,396,315,315,0.69,/home/zbub/diplomka/models/ESM/recent_noextrapol_weights_all_selected/PK/500/esm_fit_bivariate.rds
recent_noextrapol_weights_all_selected,PK,Primula kitaibeliana,200,13,"depth_to_bedrock, soil_water_cap, dem_range, eastness, landcover, bedrock, HLI, northness, TWI, bio04, bio06, bio12, bio14",78,468,362,362,0.904,/home/zbub/diplomka/models/ESM/recent_noextrapol_weights_all_selected/PK/200/esm_fit_bivariate.rds
