"","file","pres","abs","N","N_TN"
"1","gen_tergestina.gpkg",291,689,980,105
"2","phy_orbiculare.gpkg",241,844,1085,210
"3","pri_kitaibeliana.gpkg",109,0,109,109
"4","cam_velebitica.gpkg",90,859,949,74
"5","sax_blavii.gpkg",88,787,875,0
"6","cam_albanica.gpkg",68,807,875,0
"7","sax_granulata.gpkg",65,810,875,0
"8","gen_utriculosa.gpkg",55,873,928,53
"9","gen_dinarica.gpkg",49,826,875,0
"10","gen_nivalis.gpkg",36,839,875,0
"11","and_villosa.gpkg",30,845,875,0
"12","phy_spicatum.gpkg",23,852,875,0
"13","sil_acaulis.gpkg",23,852,875,0
"14","phy_pseudorbiculare.gpkg",22,853,875,0
"15","gen_asclepiadea.gpkg",21,854,875,0
"16","cam_marchesettii.gpkg",18,871,889,14
"17","gen_lutea_symphyandra.gpkg",16,859,875,0
"18","gen_lutea.gpkg",14,861,875,0
"19","sax_carpetana.gpkg",14,861,875,0
"20","sax_moschata.gpkg",9,866,875,0
"21","sax_glabella.gpkg",8,867,875,0
"22","gen_cruciata.gpkg",7,868,875,0
"23","gen_punctata.gpkg",7,868,875,0
"24","phy_confusum.gpkg",7,868,875,0
"25","pri_halleri.gpkg",6,869,875,0
"26","cam_cochlearifolia.gpkg",5,870,875,0
"27","sax_pentadactylis.gpkg",5,870,875,0
"28","sax_oppositifolia.gpkg",4,871,875,0
"29","and_hedreantha.gpkg",3,872,875,0
"30","cam_waldsteiniana.gpkg",2,873,875,0
"31","sax_exarata.gpkg",2,873,875,0
"32","and_komovensis.gpkg",1,874,875,0
"33","sax_scardica.gpkg",1,874,875,0
