branch,species_code,species,grain,n_predictors,predictors,n_candidate_pairs,n_candidate_biv_models,n_kept_biv_models,n_contributing_biv_models,oof_somers_d,model_file
recent_extrapol_weights_all_selected,GD,Gentiana dinarica,1000,10,"dem_sd, eastness, bedrock, northness, slope, TPI, bio04, bio10, bio18, bio19",45,270,189,189,0.671,/home/zbub/diplomka/models/ESM/recent_extrapol_weights_all_selected/GD/1000/esm_fit_bivariate.rds
recent_extrapol_weights_all_selected,GD,Gentiana dinarica,500,9,"dem_sd, eastness, bedrock, northness, TPI, bio04, bio10, bio18, bio19",36,216,173,173,0.721,/home/zbub/diplomka/models/ESM/recent_extrapol_weights_all_selected/GD/500/esm_fit_bivariate.rds
recent_extrapol_weights_all_selected,GD,Gentiana dinarica,200,9,"dem_sd, eastness, bedrock, northness, TPI, bio04, bio10, bio18, bio19",36,216,151,151,0.453,/home/zbub/diplomka/models/ESM/recent_extrapol_weights_all_selected/GD/200/esm_fit_bivariate.rds
recent_extrapol_weights_all_selected,GD,Gentiana dinarica,100,9,"dem_sd, eastness, bedrock, northness, TPI, bio04, bio10, bio18, bio19",36,216,173,173,0.616,/home/zbub/diplomka/models/ESM/recent_extrapol_weights_all_selected/GD/100/esm_fit_bivariate.rds
recent_extrapol_weights_all_selected,GT,Gentiana tergestina,1000,10,"dem_sd, eastness, bedrock, northness, slope, TPI, bio04, bio10, bio18, bio19",45,270,208,208,0.39,/home/zbub/diplomka/models/ESM/recent_extrapol_weights_all_selected/GT/1000/esm_fit_bivariate.rds
recent_extrapol_weights_all_selected,GT,Gentiana tergestina,500,9,"dem_sd, eastness, bedrock, northness, TPI, bio04, bio10, bio18, bio19",36,216,160,160,0.437,/home/zbub/diplomka/models/ESM/recent_extrapol_weights_all_selected/GT/500/esm_fit_bivariate.rds
recent_extrapol_weights_all_selected,GT,Gentiana tergestina,200,9,"dem_sd, eastness, bedrock, northness, TPI, bio04, bio10, bio18, bio19",36,216,164,164,0.48,/home/zbub/diplomka/models/ESM/recent_extrapol_weights_all_selected/GT/200/esm_fit_bivariate.rds
recent_extrapol_weights_all_selected,GT,Gentiana tergestina,100,9,"dem_sd, eastness, bedrock, northness, TPI, bio04, bio10, bio18, bio19",36,216,163,163,0.404,/home/zbub/diplomka/models/ESM/recent_extrapol_weights_all_selected/GT/100/esm_fit_bivariate.rds
recent_extrapol_weights_all_selected,PK,Primula kitaibeliana,1000,11,"dem_sd, eastness, bedrock, northness, slope, TPI, TRI, bio04, bio10, bio18, bio19",55,330,250,250,-0.137,/home/zbub/diplomka/models/ESM/recent_extrapol_weights_all_selected/PK/1000/esm_fit_bivariate.rds
recent_extrapol_weights_all_selected,PK,Primula kitaibeliana,500,10,"dem_sd, eastness, bedrock, northness, slope, TPI, bio04, bio10, bio18, bio19",45,270,212,212,0.697,/home/zbub/diplomka/models/ESM/recent_extrapol_weights_all_selected/PK/500/esm_fit_bivariate.rds
recent_extrapol_weights_all_selected,PK,Primula kitaibeliana,200,9,"dem_sd, eastness, bedrock, northness, TPI, bio04, bio10, bio18, bio19",36,216,172,172,0.839,/home/zbub/diplomka/models/ESM/recent_extrapol_weights_all_selected/PK/200/esm_fit_bivariate.rds
recent_extrapol_weights_all_selected,PK,Primula kitaibeliana,100,9,"dem_sd, eastness, bedrock, northness, TPI, bio04, bio10, bio18, bio19",36,216,174,174,0.787,/home/zbub/diplomka/models/ESM/recent_extrapol_weights_all_selected/PK/100/esm_fit_bivariate.rds
recent_extrapol_weights_all_selected,PO,Phyteuma orbiculare,1000,10,"dem_sd, eastness, bedrock, northness, slope, TPI, bio04, bio10, bio18, bio19",45,270,202,202,0.778,/home/zbub/diplomka/models/ESM/recent_extrapol_weights_all_selected/PO/1000/esm_fit_bivariate.rds
recent_extrapol_weights_all_selected,PO,Phyteuma orbiculare,500,9,"dem_sd, eastness, bedrock, northness, TPI, bio04, bio10, bio18, bio19",36,216,168,168,0.702,/home/zbub/diplomka/models/ESM/recent_extrapol_weights_all_selected/PO/500/esm_fit_bivariate.rds
recent_extrapol_weights_all_selected,PO,Phyteuma orbiculare,200,9,"dem_sd, eastness, bedrock, northness, TPI, bio04, bio10, bio18, bio19",36,216,177,177,0.627,/home/zbub/diplomka/models/ESM/recent_extrapol_weights_all_selected/PO/200/esm_fit_bivariate.rds
