branch,species,species_code,grain,predictor,relative_contribution,relative_contribution_pct,raw_contribution,n_kept_models,n_algorithms,n_input_predictors,n_candidate_models,n_kept_models_total,n_kept_algorithms,sum_effective_model_weights,source_file
recent_extrapol_weights_all_selected,Gentiana dinarica,GD,100,bio18,0.14781441499014106,14.781441499014106,0.14781441499014106,40,5,9,216,173,5,1,/auto/brno2/brno2/zbubster/diplomka/models/ESM/recent_extrapol_weights_all_selected/GD/100/esm_fit_bivariate.rds
recent_extrapol_weights_all_selected,Gentiana dinarica,GD,100,bio04,0.14491229079940193,14.491229079940194,0.14491229079940193,40,5,9,216,173,5,1,/auto/brno2/brno2/zbubster/diplomka/models/ESM/recent_extrapol_weights_all_selected/GD/100/esm_fit_bivariate.rds
recent_extrapol_weights_all_selected,Gentiana dinarica,GD,100,bio10,0.14219381320204172,14.219381320204171,0.14219381320204172,40,5,9,216,173,5,1,/auto/brno2/brno2/zbubster/diplomka/models/ESM/recent_extrapol_weights_all_selected/GD/100/esm_fit_bivariate.rds
recent_extrapol_weights_all_selected,Gentiana dinarica,GD,100,bio19,0.12438598254260949,12.438598254260949,0.12438598254260949,40,5,9,216,173,5,1,/auto/brno2/brno2/zbubster/diplomka/models/ESM/recent_extrapol_weights_all_selected/GD/100/esm_fit_bivariate.rds
recent_extrapol_weights_all_selected,Gentiana dinarica,GD,100,bedrock,0.12034705325605784,12.034705325605783,0.12034705325605784,40,5,9,216,173,5,1,/auto/brno2/brno2/zbubster/diplomka/models/ESM/recent_extrapol_weights_all_selected/GD/100/esm_fit_bivariate.rds
recent_extrapol_weights_all_selected,Gentiana dinarica,GD,100,TPI,0.09713665473677727,9.713665473677727,0.09713665473677727,38,5,9,216,173,5,1,/auto/brno2/brno2/zbubster/diplomka/models/ESM/recent_extrapol_weights_all_selected/GD/100/esm_fit_bivariate.rds
recent_extrapol_weights_all_selected,Gentiana dinarica,GD,100,dem_sd,0.08420915495602352,8.420915495602351,0.08420915495602352,38,5,9,216,173,5,1,/auto/brno2/brno2/zbubster/diplomka/models/ESM/recent_extrapol_weights_all_selected/GD/100/esm_fit_bivariate.rds
recent_extrapol_weights_all_selected,Gentiana dinarica,GD,100,northness,0.07443895154092006,7.443895154092006,0.07443895154092006,36,5,9,216,173,5,1,/auto/brno2/brno2/zbubster/diplomka/models/ESM/recent_extrapol_weights_all_selected/GD/100/esm_fit_bivariate.rds
recent_extrapol_weights_all_selected,Gentiana dinarica,GD,100,eastness,0.06456168397602716,6.456168397602716,0.06456168397602716,34,5,9,216,173,5,1,/auto/brno2/brno2/zbubster/diplomka/models/ESM/recent_extrapol_weights_all_selected/GD/100/esm_fit_bivariate.rds
recent_extrapol_weights_all_selected,Gentiana dinarica,GD,1000,bio19,0.1496541575449354,14.965415754493542,0.1496541575449354,45,5,10,270,189,5,1,/auto/brno2/brno2/zbubster/diplomka/models/ESM/recent_extrapol_weights_all_selected/GD/1000/esm_fit_bivariate.rds
recent_extrapol_weights_all_selected,Gentiana dinarica,GD,1000,bio04,0.1377238852619505,13.772388526195051,0.1377238852619505,43,5,10,270,189,5,1,/auto/brno2/brno2/zbubster/diplomka/models/ESM/recent_extrapol_weights_all_selected/GD/1000/esm_fit_bivariate.rds
recent_extrapol_weights_all_selected,Gentiana dinarica,GD,1000,bio10,0.13058453022089678,13.058453022089678,0.13058453022089678,45,5,10,270,189,5,1,/auto/brno2/brno2/zbubster/diplomka/models/ESM/recent_extrapol_weights_all_selected/GD/1000/esm_fit_bivariate.rds
recent_extrapol_weights_all_selected,Gentiana dinarica,GD,1000,bio18,0.1290720199308656,12.90720199308656,0.1290720199308656,45,5,10,270,189,5,1,/auto/brno2/brno2/zbubster/diplomka/models/ESM/recent_extrapol_weights_all_selected/GD/1000/esm_fit_bivariate.rds
recent_extrapol_weights_all_selected,Gentiana dinarica,GD,1000,TPI,0.11316733589290064,11.316733589290063,0.11316733589290064,42,5,10,270,189,5,1,/auto/brno2/brno2/zbubster/diplomka/models/ESM/recent_extrapol_weights_all_selected/GD/1000/esm_fit_bivariate.rds
recent_extrapol_weights_all_selected,Gentiana dinarica,GD,1000,slope,0.09632874416300559,9.63287441630056,0.09632874416300559,39,5,10,270,189,5,1,/auto/brno2/brno2/zbubster/diplomka/models/ESM/recent_extrapol_weights_all_selected/GD/1000/esm_fit_bivariate.rds
recent_extrapol_weights_all_selected,Gentiana dinarica,GD,1000,bedrock,0.08012242762796487,8.012242762796488,0.08012242762796487,32,5,10,270,189,5,1,/auto/brno2/brno2/zbubster/diplomka/models/ESM/recent_extrapol_weights_all_selected/GD/1000/esm_fit_bivariate.rds
recent_extrapol_weights_all_selected,Gentiana dinarica,GD,1000,dem_sd,0.06520399354647041,6.520399354647041,0.06520399354647041,32,5,10,270,189,5,1,/auto/brno2/brno2/zbubster/diplomka/models/ESM/recent_extrapol_weights_all_selected/GD/1000/esm_fit_bivariate.rds
recent_extrapol_weights_all_selected,Gentiana dinarica,GD,1000,eastness,0.05891468983212021,5.891468983212021,0.05891468983212021,30,5,10,270,189,5,1,/auto/brno2/brno2/zbubster/diplomka/models/ESM/recent_extrapol_weights_all_selected/GD/1000/esm_fit_bivariate.rds
recent_extrapol_weights_all_selected,Gentiana dinarica,GD,1000,northness,0.03922821597889009,3.9228215978890093,0.03922821597889009,25,5,10,270,189,5,1,/auto/brno2/brno2/zbubster/diplomka/models/ESM/recent_extrapol_weights_all_selected/GD/1000/esm_fit_bivariate.rds
recent_extrapol_weights_all_selected,Gentiana dinarica,GD,200,bio10,0.15791202609794946,15.791202609794947,0.15791202609794946,37,5,9,216,151,5,1,/auto/brno2/brno2/zbubster/diplomka/models/ESM/recent_extrapol_weights_all_selected/GD/200/esm_fit_bivariate.rds
recent_extrapol_weights_all_selected,Gentiana dinarica,GD,200,bio18,0.1531671859164414,15.31671859164414,0.1531671859164414,40,5,9,216,151,5,1,/auto/brno2/brno2/zbubster/diplomka/models/ESM/recent_extrapol_weights_all_selected/GD/200/esm_fit_bivariate.rds
recent_extrapol_weights_all_selected,Gentiana dinarica,GD,200,bio19,0.14109673207418916,14.109673207418915,0.14109673207418916,39,5,9,216,151,5,1,/auto/brno2/brno2/zbubster/diplomka/models/ESM/recent_extrapol_weights_all_selected/GD/200/esm_fit_bivariate.rds
recent_extrapol_weights_all_selected,Gentiana dinarica,GD,200,dem_sd,0.13728326189288362,13.728326189288362,0.13728326189288362,36,5,9,216,151,5,1,/auto/brno2/brno2/zbubster/diplomka/models/ESM/recent_extrapol_weights_all_selected/GD/200/esm_fit_bivariate.rds
recent_extrapol_weights_all_selected,Gentiana dinarica,GD,200,bio04,0.12910591922547648,12.910591922547649,0.12910591922547648,39,5,9,216,151,5,1,/auto/brno2/brno2/zbubster/diplomka/models/ESM/recent_extrapol_weights_all_selected/GD/200/esm_fit_bivariate.rds
recent_extrapol_weights_all_selected,Gentiana dinarica,GD,200,bedrock,0.09169541856662368,9.169541856662368,0.09169541856662368,33,5,9,216,151,5,1,/auto/brno2/brno2/zbubster/diplomka/models/ESM/recent_extrapol_weights_all_selected/GD/200/esm_fit_bivariate.rds
recent_extrapol_weights_all_selected,Gentiana dinarica,GD,200,TPI,0.075191579818421,7.519157981842101,0.075191579818421,27,5,9,216,151,5,1,/auto/brno2/brno2/zbubster/diplomka/models/ESM/recent_extrapol_weights_all_selected/GD/200/esm_fit_bivariate.rds
recent_extrapol_weights_all_selected,Gentiana dinarica,GD,200,northness,0.06264807420305009,6.264807420305009,0.06264807420305009,26,5,9,216,151,5,1,/auto/brno2/brno2/zbubster/diplomka/models/ESM/recent_extrapol_weights_all_selected/GD/200/esm_fit_bivariate.rds
recent_extrapol_weights_all_selected,Gentiana dinarica,GD,200,eastness,0.05189980220496518,5.189980220496518,0.05189980220496518,25,5,9,216,151,5,1,/auto/brno2/brno2/zbubster/diplomka/models/ESM/recent_extrapol_weights_all_selected/GD/200/esm_fit_bivariate.rds
recent_extrapol_weights_all_selected,Gentiana dinarica,GD,500,bio04,0.14598837003252402,14.598837003252402,0.14598837003252402,40,5,9,216,173,5,1,/auto/brno2/brno2/zbubster/diplomka/models/ESM/recent_extrapol_weights_all_selected/GD/500/esm_fit_bivariate.rds
recent_extrapol_weights_all_selected,Gentiana dinarica,GD,500,TPI,0.13668044025450446,13.668044025450445,0.13668044025450446,40,5,9,216,173,5,1,/auto/brno2/brno2/zbubster/diplomka/models/ESM/recent_extrapol_weights_all_selected/GD/500/esm_fit_bivariate.rds
recent_extrapol_weights_all_selected,Gentiana dinarica,GD,500,bio19,0.13063262835853606,13.063262835853607,0.13063262835853606,40,5,9,216,173,5,1,/auto/brno2/brno2/zbubster/diplomka/models/ESM/recent_extrapol_weights_all_selected/GD/500/esm_fit_bivariate.rds
