branch,species,species_code,grain,predictor,relative_contribution,relative_contribution_pct,raw_contribution,n_kept_models,n_algorithms,n_input_predictors,n_candidate_models,n_kept_models_total,n_kept_algorithms,sum_effective_model_weights,source_file
recent_noextrapol_weights_all_selected,Gentiana dinarica,GD,100,landcover,0.11201024496163166,11.201024496163166,0.11201024496163166,60,5,13,468,373,5,1,/auto/brno2/brno2/zbubster/diplomka/models/ESM/recent_noextrapol_weights_all_selected/GD/100/esm_fit_bivariate.rds
recent_noextrapol_weights_all_selected,Gentiana dinarica,GD,100,bio14,0.10798162485412241,10.798162485412242,0.10798162485412241,60,5,13,468,373,5,1,/auto/brno2/brno2/zbubster/diplomka/models/ESM/recent_noextrapol_weights_all_selected/GD/100/esm_fit_bivariate.rds
recent_noextrapol_weights_all_selected,Gentiana dinarica,GD,100,bio06,0.1053497712560483,10.534977125604831,0.1053497712560483,60,5,13,468,373,5,1,/auto/brno2/brno2/zbubster/diplomka/models/ESM/recent_noextrapol_weights_all_selected/GD/100/esm_fit_bivariate.rds
recent_noextrapol_weights_all_selected,Gentiana dinarica,GD,100,bio12,0.09610940610669776,9.610940610669775,0.09610940610669776,60,5,13,468,373,5,1,/auto/brno2/brno2/zbubster/diplomka/models/ESM/recent_noextrapol_weights_all_selected/GD/100/esm_fit_bivariate.rds
recent_noextrapol_weights_all_selected,Gentiana dinarica,GD,100,depth_to_bedrock,0.09101734477652347,9.101734477652347,0.09101734477652347,60,5,13,468,373,5,1,/auto/brno2/brno2/zbubster/diplomka/models/ESM/recent_noextrapol_weights_all_selected/GD/100/esm_fit_bivariate.rds
recent_noextrapol_weights_all_selected,Gentiana dinarica,GD,100,bedrock,0.08151504211917114,8.151504211917114,0.08151504211917114,60,5,13,468,373,5,1,/auto/brno2/brno2/zbubster/diplomka/models/ESM/recent_noextrapol_weights_all_selected/GD/100/esm_fit_bivariate.rds
recent_noextrapol_weights_all_selected,Gentiana dinarica,GD,100,dem_range,0.07042960778058864,7.042960778058864,0.07042960778058864,60,5,13,468,373,5,1,/auto/brno2/brno2/zbubster/diplomka/models/ESM/recent_noextrapol_weights_all_selected/GD/100/esm_fit_bivariate.rds
recent_noextrapol_weights_all_selected,Gentiana dinarica,GD,100,TPI,0.06563503656783799,6.5635036567838,0.06563503656783799,56,5,13,468,373,5,1,/auto/brno2/brno2/zbubster/diplomka/models/ESM/recent_noextrapol_weights_all_selected/GD/100/esm_fit_bivariate.rds
recent_noextrapol_weights_all_selected,Gentiana dinarica,GD,100,HLI,0.06393789797452903,6.393789797452904,0.06393789797452903,58,5,13,468,373,5,1,/auto/brno2/brno2/zbubster/diplomka/models/ESM/recent_noextrapol_weights_all_selected/GD/100/esm_fit_bivariate.rds
recent_noextrapol_weights_all_selected,Gentiana dinarica,GD,100,soil_water_cap,0.06056274945895455,6.056274945895455,0.06056274945895455,58,5,13,468,373,5,1,/auto/brno2/brno2/zbubster/diplomka/models/ESM/recent_noextrapol_weights_all_selected/GD/100/esm_fit_bivariate.rds
recent_noextrapol_weights_all_selected,Gentiana dinarica,GD,100,TWI,0.05636872946838578,5.636872946838578,0.05636872946838578,55,5,13,468,373,5,1,/auto/brno2/brno2/zbubster/diplomka/models/ESM/recent_noextrapol_weights_all_selected/GD/100/esm_fit_bivariate.rds
recent_noextrapol_weights_all_selected,Gentiana dinarica,GD,100,northness,0.04799309723719625,4.799309723719625,0.04799309723719625,52,5,13,468,373,5,1,/auto/brno2/brno2/zbubster/diplomka/models/ESM/recent_noextrapol_weights_all_selected/GD/100/esm_fit_bivariate.rds
recent_noextrapol_weights_all_selected,Gentiana dinarica,GD,100,aspect,0.041089447438313054,4.108944743831305,0.041089447438313054,47,5,13,468,373,5,1,/auto/brno2/brno2/zbubster/diplomka/models/ESM/recent_noextrapol_weights_all_selected/GD/100/esm_fit_bivariate.rds
recent_noextrapol_weights_all_selected,Gentiana dinarica,GD,1000,bio12,0.12184078328851122,12.184078328851122,0.12184078328851122,65,5,14,546,375,5,1,/auto/brno2/brno2/zbubster/diplomka/models/ESM/recent_noextrapol_weights_all_selected/GD/1000/esm_fit_bivariate.rds
recent_noextrapol_weights_all_selected,Gentiana dinarica,GD,1000,bio14,0.1174250744833569,11.74250744833569,0.1174250744833569,65,5,14,546,375,5,1,/auto/brno2/brno2/zbubster/diplomka/models/ESM/recent_noextrapol_weights_all_selected/GD/1000/esm_fit_bivariate.rds
recent_noextrapol_weights_all_selected,Gentiana dinarica,GD,1000,bio06,0.10263130674070714,10.263130674070714,0.10263130674070714,65,5,14,546,375,5,1,/auto/brno2/brno2/zbubster/diplomka/models/ESM/recent_noextrapol_weights_all_selected/GD/1000/esm_fit_bivariate.rds
recent_noextrapol_weights_all_selected,Gentiana dinarica,GD,1000,bio04,0.09958249967080451,9.958249967080452,0.09958249967080451,63,5,14,546,375,5,1,/auto/brno2/brno2/zbubster/diplomka/models/ESM/recent_noextrapol_weights_all_selected/GD/1000/esm_fit_bivariate.rds
recent_noextrapol_weights_all_selected,Gentiana dinarica,GD,1000,depth_to_bedrock,0.09415307104028296,9.415307104028296,0.09415307104028296,64,5,14,546,375,5,1,/auto/brno2/brno2/zbubster/diplomka/models/ESM/recent_noextrapol_weights_all_selected/GD/1000/esm_fit_bivariate.rds
recent_noextrapol_weights_all_selected,Gentiana dinarica,GD,1000,TPI,0.07318531990422858,7.318531990422858,0.07318531990422858,61,5,14,546,375,5,1,/auto/brno2/brno2/zbubster/diplomka/models/ESM/recent_noextrapol_weights_all_selected/GD/1000/esm_fit_bivariate.rds
recent_noextrapol_weights_all_selected,Gentiana dinarica,GD,1000,soil_water_cap,0.06849062490130789,6.849062490130789,0.06849062490130789,65,5,14,546,375,5,1,/auto/brno2/brno2/zbubster/diplomka/models/ESM/recent_noextrapol_weights_all_selected/GD/1000/esm_fit_bivariate.rds
recent_noextrapol_weights_all_selected,Gentiana dinarica,GD,1000,TRI,0.0638399129300307,6.383991293003071,0.0638399129300307,57,5,14,546,375,5,1,/auto/brno2/brno2/zbubster/diplomka/models/ESM/recent_noextrapol_weights_all_selected/GD/1000/esm_fit_bivariate.rds
recent_noextrapol_weights_all_selected,Gentiana dinarica,GD,1000,bedrock,0.05267746839089474,5.267746839089474,0.05267746839089474,45,5,14,546,375,5,1,/auto/brno2/brno2/zbubster/diplomka/models/ESM/recent_noextrapol_weights_all_selected/GD/1000/esm_fit_bivariate.rds
recent_noextrapol_weights_all_selected,Gentiana dinarica,GD,1000,TWI,0.04994744278130941,4.99474427813094,0.04994744278130941,44,5,14,546,375,5,1,/auto/brno2/brno2/zbubster/diplomka/models/ESM/recent_noextrapol_weights_all_selected/GD/1000/esm_fit_bivariate.rds
recent_noextrapol_weights_all_selected,Gentiana dinarica,GD,1000,landcover,0.044830294597640305,4.4830294597640306,0.044830294597640305,39,5,14,546,375,5,1,/auto/brno2/brno2/zbubster/diplomka/models/ESM/recent_noextrapol_weights_all_selected/GD/1000/esm_fit_bivariate.rds
recent_noextrapol_weights_all_selected,Gentiana dinarica,GD,1000,eastness,0.04466023175233109,4.466023175233109,0.04466023175233109,41,5,14,546,375,5,1,/auto/brno2/brno2/zbubster/diplomka/models/ESM/recent_noextrapol_weights_all_selected/GD/1000/esm_fit_bivariate.rds
recent_noextrapol_weights_all_selected,Gentiana dinarica,GD,1000,HLI,0.03508704539556299,3.508704539556299,0.03508704539556299,41,5,14,546,375,5,1,/auto/brno2/brno2/zbubster/diplomka/models/ESM/recent_noextrapol_weights_all_selected/GD/1000/esm_fit_bivariate.rds
recent_noextrapol_weights_all_selected,Gentiana dinarica,GD,1000,northness,0.03164892412303157,3.1648924123031574,0.03164892412303157,35,5,14,546,375,5,1,/auto/brno2/brno2/zbubster/diplomka/models/ESM/recent_noextrapol_weights_all_selected/GD/1000/esm_fit_bivariate.rds
recent_noextrapol_weights_all_selected,Gentiana dinarica,GD,200,bio14,0.11733108240905474,11.733108240905473,0.11733108240905474,65,5,14,546,406,5,1,/auto/brno2/brno2/zbubster/diplomka/models/ESM/recent_noextrapol_weights_all_selected/GD/200/esm_fit_bivariate.rds
recent_noextrapol_weights_all_selected,Gentiana dinarica,GD,200,landcover,0.11164443021309621,11.164443021309621,0.11164443021309621,64,5,14,546,406,5,1,/auto/brno2/brno2/zbubster/diplomka/models/ESM/recent_noextrapol_weights_all_selected/GD/200/esm_fit_bivariate.rds
recent_noextrapol_weights_all_selected,Gentiana dinarica,GD,200,bio12,0.10266006147018109,10.266006147018109,0.10266006147018109,65,5,14,546,406,5,1,/auto/brno2/brno2/zbubster/diplomka/models/ESM/recent_noextrapol_weights_all_selected/GD/200/esm_fit_bivariate.rds
