branch,species,species_code,grain,bio18,bio04,bio10,bio19,bedrock,TPI,dem_sd,northness,eastness,slope,TRI,landcover,bio14,bio06,bio12,depth_to_bedrock,dem_range,HLI,soil_water_cap,TWI,aspect,bio07
recent_extrapol_weights_all_selected,Gentiana dinarica,GD,100,14.781441499014106,14.491229079940194,14.219381320204171,12.438598254260949,12.034705325605783,9.713665473677727,8.420915495602351,7.443895154092006,6.456168397602716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
recent_extrapol_weights_all_selected,Gentiana dinarica,GD,1000,12.90720199308656,13.772388526195051,13.058453022089678,14.965415754493542,8.012242762796488,11.316733589290063,6.520399354647041,3.9228215978890093,5.891468983212021,9.63287441630056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
recent_extrapol_weights_all_selected,Gentiana dinarica,GD,200,15.31671859164414,12.910591922547649,15.791202609794947,14.109673207418915,9.169541856662368,7.519157981842101,13.728326189288362,6.264807420305009,5.189980220496518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
recent_extrapol_weights_all_selected,Gentiana dinarica,GD,500,12.897380536345812,14.598837003252402,12.193225715876164,13.063262835853607,10.036943060670414,13.668044025450445,8.65284293717488,8.55263362453874,6.336830260837538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
recent_extrapol_weights_all_selected,Gentiana tergestina,GT,100,16.948764082411937,13.014721065865661,14.62912043038685,10.644599294235988,13.380786206718248,7.557868412833225,7.217587408407063,9.592576675688429,7.013976423452601,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
recent_extrapol_weights_all_selected,Gentiana tergestina,GT,1000,19.208775634739055,7.543855212066964,13.827837402838597,8.075201023940519,9.166531103418002,8.454287432890792,8.890962886491998,10.27984741178239,6.188213687939228,8.364488203892458,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
recent_extrapol_weights_all_selected,Gentiana tergestina,GT,200,16.24151575093869,14.517491240120437,14.75534859314926,11.743369144314501,12.799468267519693,7.6408473534397645,7.071923329462162,8.883283641869246,6.346752679186244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
recent_extrapol_weights_all_selected,Gentiana tergestina,GT,500,17.079172736578204,6.983902255461624,16.833047143490617,11.911924920007534,11.20029888778278,10.318440276860752,6.274892949905546,11.4935819157773,7.904738914135644,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
recent_extrapol_weights_all_selected,Primula kitaibeliana,PK,100,11.720635656080216,13.659441005932734,15.069806249412087,14.245835108179772,12.005348769161563,9.801530493468663,8.907375062996534,7.543906976648729,7.0461206781196966,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
recent_extrapol_weights_all_selected,Primula kitaibeliana,PK,1000,6.913551262303259,9.819793014215485,14.786916520323173,14.157467496324719,12.058406635376329,10.455775152115113,6.2341433616987265,6.48062208338155,6.948424588841546,7.406476327631455,4.738423557788652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
recent_extrapol_weights_all_selected,Primula kitaibeliana,PK,200,11.729759041497783,11.839454383518595,13.824932669633776,15.212326692023433,12.792894435593658,10.39595988481563,9.097119843882465,8.024949369177968,7.082603679856692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
recent_extrapol_weights_all_selected,Primula kitaibeliana,PK,500,9.026142337356848,7.423735060652572,17.309285915773952,15.632854696541512,12.497885462813537,7.570237506957447,7.536420863012119,7.83322481063088,7.425241617249648,7.744971729011489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
recent_extrapol_weights_all_selected,Phyteuma orbiculare,PO,100,8.781207959310274,14.538318308098619,15.001155373415772,15.298159613198239,8.362017849545243,11.032080235597723,10.316266569502835,7.560888845375484,9.109905245955813,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
recent_extrapol_weights_all_selected,Phyteuma orbiculare,PO,1000,9.332933133338415,12.2769610660136,13.928945546006899,17.63148870232155,8.226695377650696,11.26339166951559,8.735594092757461,6.370995107235146,5.869154172665084,6.363841132495559,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
recent_extrapol_weights_all_selected,Phyteuma orbiculare,PO,200,9.057753850199932,11.43196631440773,14.33444779341135,18.10293199586069,7.795200107522876,10.132574180901129,9.959664103966489,8.001901904426488,11.183559749303317,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
recent_extrapol_weights_all_selected,Phyteuma orbiculare,PO,500,10.803547458418667,12.823866894092447,15.081350433544236,19.307882945107064,7.738661299011802,9.932662569126311,7.535303827188383,8.857157970549267,7.919566602961825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
recent_extrapol_weights_all_selected,Phyteuma pseudorbiculare,PP,100,17.13205806092286,14.65046360009357,16.036335626702687,14.22615728992391,8.674325490781566,7.518933767537225,7.344539827529899,6.889229006235525,7.527957330272753,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
recent_extrapol_weights_all_selected,Phyteuma pseudorbiculare,PP,1000,15.39106987178784,10.838892214037134,14.277758202735132,15.86348502975427,7.882725173962009,8.656023766618967,8.523986786683249,5.027718882473382,7.104089566665904,6.434250505282114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
recent_extrapol_weights_all_selected,Phyteuma pseudorbiculare,PP,200,17.358973768871095,15.453904595192865,14.794316270198147,15.784601349655286,8.472377146092356,7.614578035796277,6.001366231537223,6.776157619603959,7.743724983052802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
recent_extrapol_weights_all_selected,Phyteuma pseudorbiculare,PP,500,18.91324531872116,11.376585439197326,17.79286658592347,16.957463547167542,8.58322802588557,6.661190679033361,6.283564245362459,6.5646830773800975,6.86717308132902,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
recent_extrapol_weights_all_selected,Saxifraga blavii,SB,100,10.810892673641208,10.255405638318441,21.66677893847375,13.874516469909587,10.235942607889989,8.165462161398585,7.31410000709465,8.252033887311903,9.424867615961881,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
recent_extrapol_weights_all_selected,Saxifraga blavii,SB,1000,12.840063641630895,6.949989786692741,23.80837264218005,11.453875530307666,11.075783958918016,6.858822308680128,6.13007371908906,6.026869778453587,7.540689464736575,7.315459169311287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
recent_extrapol_weights_all_selected,Saxifraga blavii,SB,200,11.380951673412861,8.920391356989905,23.733863699521578,18.93624566646059,8.476774358800274,8.182758989953548,6.634417008564242,7.14568219998447,6.588915046312533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
recent_extrapol_weights_all_selected,Saxifraga blavii,SB,500,13.403190722023577,9.20059343239658,22.138645576434154,12.907721635085414,10.492022802615155,5.943492755633272,8.746465733876812,8.769473532478225,8.398393809456804,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
recent_noextrapol_weights_all_selected,Gentiana dinarica,GD,100,NA,NA,NA,NA,8.151504211917114,6.5635036567838,NA,4.799309723719625,NA,NA,NA,11.201024496163166,10.798162485412242,10.534977125604831,9.610940610669775,9.101734477652347,7.042960778058864,6.393789797452904,6.056274945895455,5.636872946838578,4.108944743831305,NA
recent_noextrapol_weights_all_selected,Gentiana dinarica,GD,1000,NA,9.958249967080452,NA,NA,5.267746839089474,7.318531990422858,NA,3.1648924123031574,4.466023175233109,NA,6.383991293003071,4.4830294597640306,11.74250744833569,10.263130674070714,12.184078328851122,9.415307104028296,NA,3.508704539556299,6.849062490130789,4.99474427813094,NA,NA
recent_noextrapol_weights_all_selected,Gentiana dinarica,GD,200,NA,NA,NA,NA,5.77740326840552,4.451196640070548,NA,3.6437886141589706,3.8901260934349993,NA,NA,11.164443021309621,11.733108240905473,9.665472649921515,10.266006147018109,8.540512278953942,7.400727245570383,5.680857393144825,7.71417255194552,4.817167911675897,NA,5.255017943484677
recent_noextrapol_weights_all_selected,Gentiana dinarica,GD,500,NA,NA,NA,NA,6.8880199140959695,NA,NA,5.838169287163282,4.19570764538006,NA,NA,7.284722607331778,10.99934239226424,9.503955188528595,9.712751769382473,7.66752196355808,6.529049844297971,6.757044897085613,6.94726078876549,8.369521724384503,NA,9.306931977761947
recent_noextrapol_weights_all_selected,Gentiana tergestina,GT,100,NA,NA,NA,NA,11.876195897803479,NA,NA,8.208278907807317,5.42580148931117,NA,NA,13.281857787489281,13.793510733070963,9.629640506932743,10.316402883789433,NA,6.254065538745712,6.232589634723482,8.533050844698897,6.448605775627522,NA,NA
recent_noextrapol_weights_all_selected,Gentiana tergestina,GT,1000,NA,5.883426190884335,NA,NA,7.5798130745943615,6.273984308476008,NA,8.296605934902885,4.018294896010963,NA,NA,4.556873231588003,11.6148092950904,6.943148580468862,11.815773007524468,3.2449206045068633,7.2605948578150254,7.147169083371112,8.383848171400347,6.980738763366366,NA,NA
recent_noextrapol_weights_all_selected,Gentiana tergestina,GT,200,NA,10.307134806516173,NA,NA,8.75000469007039,NA,NA,6.179699760345628,4.723960879442342,NA,NA,10.354271943040821,11.53339378955643,8.431799651205823,10.019414383424085,4.816222230685135,5.1139038487596284,6.44979752706027,6.889736112932286,6.430660376960991,NA,NA
recent_noextrapol_weights_all_selected,Gentiana tergestina,GT,500,NA,NA,NA,NA,9.802821974800509,NA,NA,10.084126973347468,5.905303603503109,NA,NA,14.712974440809615,9.497774211729237,6.895172081292136,14.020177901028813,2.93705077761237,4.494397166471935,6.0705193241414035,9.020219332496012,6.559462212767389,NA,NA
recent_noextrapol_weights_all_selected,Primula kitaibeliana,PK,100,NA,NA,NA,NA,NA,NA,NA,5.77154732633018,5.709418420101317,NA,NA,8.30640887324779,14.43866655731819,15.708132604038324,13.294546834274499,10.589396775606403,6.546807001020982,5.666595365380152,7.377148389580201,6.591331853101972,NA,NA
recent_noextrapol_weights_all_selected,Primula kitaibeliana,PK,1000,NA,6.416753021987798,NA,NA,8.322092353912241,6.931858344363123,NA,5.527930092450598,4.682975931813109,NA,NA,7.795908365940213,8.895014491365185,11.408324446954879,8.304785647161998,6.7129821756079595,6.672447389128538,6.356503794989542,5.88602347008359,6.086400474241225,NA,NA
recent_noextrapol_weights_all_selected,Primula kitaibeliana,PK,200,NA,8.847530299441866,NA,NA,8.52061751001393,NA,NA,5.134653955967929,4.395050680676007,NA,NA,6.889544132669926,12.23549455622165,10.719731888929706,11.230512014848609,9.681650840194248,6.148686691516934,5.049587841632161,5.4489678862390045,5.697971701648037,NA,NA
recent_noextrapol_weights_all_selected,Primula kitaibeliana,PK,500,NA,NA,NA,NA,9.454767736280841,NA,NA,5.93503455418782,6.5499232830855805,NA,NA,9.886585311398862,9.799426345024193,14.28441436985671,11.58785696464358,6.288916800556294,6.464244010332791,5.8191580969086365,6.5749874882239725,7.354685039500724,NA,NA
recent_noextrapol_weights_all_selected,Phyteuma orbiculare,PO,100,NA,NA,NA,NA,5.258609897188224,7.699271563408015,NA,5.606187426878383,NA,NA,NA,8.927419707457886,6.9870235227721,12.516281424837047,11.571601521964837,6.971344484381303,8.201143324228772,5.336391957068127,5.678941612915459,8.748390166030685,6.497393390869161,NA
recent_noextrapol_weights_all_selected,Phyteuma orbiculare,PO,1000,NA,11.047251134653223,NA,NA,5.7549526190102265,8.405485732095745,NA,4.315189189255389,3.9945501235926004,NA,6.411944585304709,11.363434677232508,5.349588718230146,11.235858021904074,12.85558788480006,3.3475468557252217,NA,4.987718888488297,6.126379429968135,4.804512139739668,NA,NA
recent_noextrapol_weights_all_selected,Phyteuma orbiculare,PO,200,NA,NA,NA,NA,4.785781609673342,7.122469022102178,NA,4.9078730060942855,8.266896005419063,NA,NA,9.237006878425408,4.332124858627829,11.37946218931365,11.42434991413853,7.16150888070999,8.559117806208283,3.946236477482322,5.746891551915421,7.067624675541238,NA,6.062657124348459
